source_row,purchase_date,portfolio,product_name,set_name,source_set_id,card_number,material,rarity,condition,quantity,price_per_unit,total_cost,owned_product_id,catalogue_card_id,canonical_behaviour_card_id,resolution_type,catalogue_name,supertype,types,stage,resolution_note
21,2026-07-25,My Portfolio,Ultra Ball,Mega Evolution,m1,131/132,,Common,NM,4,£0.14,£0.56,card:m1|131/132|null|null|null|null,me1-131,me1-131,set-id-alias,Ultra Ball,Trainer,,Item,Portfolio set ID m1 normalised to me1
22,2026-07-25,My Portfolio,Energy Search,Perfect Order,me3,072/088,,Common,NM,1,£0.11,£0.11,card:me3|072/088|null|null|null|null,me3-72,me3-72,exact,Energy Search,Trainer,,Item,
23,2026-07-25,My Portfolio,Wondrous Patch,Phantasmal Flames,me02,094/094,,Uncommon,NM,2,£0.11,£0.22,card:me02|094/094|null|null|null|null,me2-94,me2-94,set-id-alias,Wondrous Patch,Trainer,,Item,Portfolio set ID me02 normalised to me2
24,2026-07-25,My Portfolio,Crushing Hammer,Perfect Order,me3,071/088,,Common,NM,4,£0.11,£0.44,card:me3|071/088|null|null|null|null,me3-71,me3-71,exact,Crushing Hammer,Trainer,,Item,
25,2026-07-25,My Portfolio,Battle Cage,Phantasmal Flames,me02,085/094,,Uncommon,NM,2,£0.13,£0.26,card:me02|085/094|null|null|null|null,me2-85,me2-85,set-id-alias,Battle Cage,Trainer,,Stadium,Portfolio set ID me02 normalised to me2
26,2026-07-25,My Portfolio,Telepathic Psychic Energy,Perfect Order,me3,088/088,Holo,Rare,NM,2,£0.00,£0.00,card:me3|088/088|Holo|null|null|null,me3-88,me3-88,exact,Telepathic Psychic Energy,Energy,,Special,
27,2026-07-25,My Portfolio,Telepathic Psychic Energy,Perfect Order,me3,088/088,Holo,Rare,NM,1,£0.00,£0.00,card:me3|088/088|Holo|null|null|null,me3-88,me3-88,exact,Telepathic Psychic Energy,Energy,,Special,
28,2026-07-25,My Portfolio,Telepathic Psychic Energy,Perfect Order,me3,088/088,Reverse Holo,Rare,NM,1,£0.00,£0.00,card:me3|088/088|Reverse Holo|null|null|null,me3-88,me3-88,exact,Telepathic Psychic Energy,Energy,,Special,
29,2026-07-25,My Portfolio,Team Rocket's Crobat ex,Destined Rivals,sv10,122/182,Holo,Double Rare,NM,2,£0.63,£1.26,card:sv10|122/182|Holo|null|null|null,sv10-122,sv10-122,exact,Team Rocket's Crobat ex,Pokémon,Darkness,Stage 2,
30,2026-07-25,My Portfolio,Team Rocket's Arbok,Destined Rivals,sv10,113/182,,Uncommon,NM,2,£0.40,£0.80,card:sv10|113/182|null|null|null|null,sv10-113,sv10-113,exact,Team Rocket's Arbok,Pokémon,Darkness,Stage 1,
31,2026-07-25,My Portfolio,Okidogi ex,Shrouded Fable,sv6pt5,036/064,,Double Rare,NM,3,£0.63,£1.89,card:sv6pt5|036/064|null|null|null|null,sv6pt5-36,sv6pt5-36,exact,Okidogi ex,Pokémon,Darkness,Basic,
32,2026-07-25,My Portfolio,Team Rocket's Ekans,Destined Rivals,sv10,112/182,,Common,NM,2,£0.41,£0.82,card:sv10|112/182|null|null|null|null,sv10-112,sv10-112,exact,Team Rocket's Ekans,Pokémon,Darkness,Basic,
33,2026-07-25,My Portfolio,Pecharunt ex,Shrouded Fable,sv6pt5,039/064,,Double Rare,NM,1,£1.31,£1.31,card:sv6pt5|039/064|null|null|null|null,sv6pt5-39,sv6pt5-39,exact,Pecharunt ex,Pokémon,Darkness,Basic,
34,2026-07-27,My Portfolio,Scoop Up Cyclone,Prismatic Evolutions,sv8pt5,128/131,Holo,ACE SPEC Rare,NM,1,£0.00,£0.00,card:sv8pt5|128/131|Holo|null|null|null,sv8pt5-128,sv8pt5-128,exact,Scoop Up Cyclone,Trainer,,Item,
35,2026-07-27,My Portfolio,Abra,Mega Evolution,m1,054/132,,Common,NM,4,£0.00,£0.00,card:m1|054/132|null|null|null|null,me1-54,me1-54,set-id-alias,Abra,Pokémon,Psychic,Basic,Portfolio set ID m1 normalised to me1
36,2026-07-27,My Portfolio,Brute Bonnet,Paradox Rift,sv4,123/182,Holo,Rare,NM,3,£0.00,£0.00,card:sv4|123/182|Holo|null|null|null,sv4-123,sv4-123,exact,Brute Bonnet,Pokémon,Darkness,Basic,
37,2026-07-27,My Portfolio,Alakazam,Mega Evolution,m1,056/132,Holo,Rare,NM,4,£0.00,£0.00,card:m1|056/132|Holo|null|null|null,me1-56,me1-56,set-id-alias,Alakazam,Pokémon,Psychic,Stage 2,Portfolio set ID m1 normalised to me1
38,2026-07-27,My Portfolio,Sacred Ash,Destined Rivals,sv10,168/182,,Uncommon,NM,1,£0.00,£0.00,card:sv10|168/182|null|null|null|null,sv10-168,sv10-168,exact,Sacred Ash,Trainer,,Item,
39,2026-07-27,My Portfolio,Nighttime Mine,Ascended Heroes,me2pt5,197/217,,Uncommon,NM,1,£0.00,£0.00,card:me2pt5|197/217|null|null|null|null,me2pt5-197,me2pt5-197,exact,Nighttime Mine,Trainer,,Stadium,
40,2026-07-27,My Portfolio,Lucky Helmet,Twilight Masquerade,sv6,158/167,,Uncommon,NM,1,£0.00,£0.00,card:sv6|158/167|null|null|null|null,sv6-158,sv6-158,exact,Lucky Helmet,Trainer,,Pokémon Tool,
41,2026-07-27,My Portfolio,Energy Search,Scarlet & Violet,sv1,172/198,,Common,NM,2,£0.00,£0.00,card:sv1|172/198|null|null|null|null,sv1-172,sv1-172,exact,Energy Search,Trainer,,Item,
42,2026-07-27,My Portfolio,Munkidori ex,Shrouded Fable,sv6pt5,037/064,,Double Rare,NM,1,£0.00,£0.00,card:sv6pt5|037/064|null|null|null|null,sv6pt5-37,sv6pt5-37,exact,Munkidori ex,Pokémon,Darkness,Basic,
43,2026-07-27,My Portfolio,Super Rod,Paldea Evolved,sv2,188/193,,Common,NM,1,£0.00,£0.00,card:sv2|188/193|null|null|null|null,sv2-188,sv2-188,exact,Super Rod,Trainer,,Item,
44,2026-07-27,My Portfolio,Gravity Mountain,Surging Sparks,sv8,177/191,,Uncommon,NM,2,£0.00,£0.00,card:sv8|177/191|null|null|null|null,sv8-177,sv8-177,exact,Gravity Mountain,Trainer,,Stadium,
45,2026-07-27,My Portfolio,Prime Catcher,Prismatic Evolutions,sv8pt5,119/131,Holo,ACE SPEC Rare,NM,1,£0.00,£0.00,card:sv8pt5|119/131|Holo|null|null|null,sv8pt5-119,sv8pt5-119,exact,Prime Catcher,Trainer,,Item,
46,2026-07-27,My Portfolio,Ancient Booster Energy Capsule,Temporal Forces,sv5,140/162,,Uncommon,NM,3,£0.00,£0.00,card:sv5|140/162|null|null|null|null,sv5-140,sv5-140,exact,Ancient Booster Energy Capsule,Trainer,,Pokémon Tool,
47,2026-07-27,My Portfolio,Lana's Aid,Twilight Masquerade,sv6,155/167,,Uncommon,NM,1,£0.00,£0.00,card:sv6|155/167|null|null|null|null,sv6-155,sv6-155,exact,Lana's Aid,Trainer,,Supporter,
48,2026-07-27,My Portfolio,Poké Pad,Ascended Heroes,me2pt5,198/217,,Common,NM,3,£0.00,£0.00,card:me2pt5|198/217|null|null|null|null,me2pt5-198,me2pt5-198,exact,Poké Pad,Trainer,,Item,
49,2026-07-27,My Portfolio,Tatsugiri,Twilight Masquerade,sv6,131/167,,Uncommon,NM,2,£0.00,£0.00,card:sv6|131/167|null|null|null|null,sv6-131,sv6-131,exact,Tatsugiri,Pokémon,Dragon,Basic,
50,2026-07-27,My Portfolio,Kadabra,Mega Evolution,m1,055/132,,Uncommon,NM,4,£0.00,£0.00,card:m1|055/132|null|null|null|null,me1-55,me1-55,set-id-alias,Kadabra,Pokémon,Psychic,Stage 1,Portfolio set ID m1 normalised to me1
51,2026-07-16,My Portfolio,Floatzel,Destined Rivals,sv10,058/182,,Uncommon,NM,1,£0.00,£0.00,card:sv10|058/182|null|null|null|null,sv10-58,sv10-58,exact,Floatzel,Pokémon,Water,Stage 1,
52,2026-07-16,My Portfolio,Misty's Magikarp,Destined Rivals,sv10,048/182,,Common,NM,1,£0.00,£0.00,card:sv10|048/182|null|null|null|null,sv10-48,sv10-48,exact,Misty's Magikarp,Pokémon,Water,Basic,
53,2026-07-16,My Portfolio,Metang,Chaos Rising,me04,060/086,,Common,NM,1,£0.00,£0.00,card:me04|060/086|null|null|null|null,me4-60,me4-60,set-id-alias,Metang,Pokémon,Metal,Stage 1,Portfolio set ID me04 normalised to me4
54,2026-07-16,My Portfolio,Steven's Claydol,Destined Rivals,sv10,084/182,,Uncommon,NM,1,£0.00,£0.00,card:sv10|084/182|null|null|null|null,sv10-84,sv10-84,exact,Steven's Claydol,Pokémon,Psychic,Stage 1,
55,2026-07-16,My Portfolio,Ethan's Pichu,Destined Rivals,sv10,071/182,,Common,NM,1,£0.00,£0.00,card:sv10|071/182|null|null|null|null,sv10-71,sv10-71,exact,Ethan's Pichu,Pokémon,Lightning,Basic,
56,2026-07-16,My Portfolio,Golbat,Chaos Rising,me04,050/086,,Common,NM,1,£0.00,£0.00,card:me04|050/086|null|null|null|null,me4-50,me4-50,set-id-alias,Golbat,Pokémon,Darkness,Stage 1,Portfolio set ID me04 normalised to me4
57,2026-07-16,My Portfolio,Electabuzz,Destined Rivals,sv10,068/182,,Common,NM,1,£0.00,£0.00,card:sv10|068/182|null|null|null|null,sv10-68,sv10-68,exact,Electabuzz,Pokémon,Lightning,Basic,
58,2026-07-16,My Portfolio,Pineco,Destined Rivals,sv10,004/182,,Common,NM,1,£0.00,£0.00,card:sv10|004/182|null|null|null|null,sv10-4,sv10-4,exact,Pineco,Pokémon,Grass,Basic,
59,2026-07-16,My Portfolio,Arboliva ex,Destined Rivals,sv10,023/182,Holo,Double Rare,NM,1,£0.00,£0.00,card:sv10|023/182|Holo|null|null|null,sv10-23,sv10-23,exact,Arboliva ex,Pokémon,Grass,Stage 2,
60,2026-07-16,My Portfolio,PokéStop,Pokémon GO,pgo,068/078,,Uncommon,NM,1,£0.00,£0.00,card:pgo|068/078|null|null|null|null,pgo-68,pgo-68,exact,PokéStop,Trainer,,Stadium,
61,2026-07-16,My Portfolio,Penny,Scarlet & Violet,sv1,183/198,,Uncommon,NM,1,£0.00,£0.00,card:sv1|183/198|null|null|null|null,sv1-183,sv1-183,exact,Penny,Trainer,,Supporter,
62,2026-07-16,My Portfolio,Switch,Battle Academy 2024 (Armarouge),ba24a,194/198,,Common,NM,1,£0.00,£0.00,card:ba24a|194/198|null|null|null|null,sv1-194,sv1-194,functional-reprint-alias,Switch,Trainer,,Item,Battle Academy 2024 Switch; canonical gameplay SVI 194
63,2026-07-16,My Portfolio,Energy Switch,Scarlet & Violet,sv1,173/198,,Common,NM,1,£0.00,£0.00,card:sv1|173/198|null|null|null|null,sv1-173,sv1-173,exact,Energy Switch,Trainer,,Item,
64,2026-07-16,My Portfolio,Potion,Battle Academy 2024 (Armarouge),ba24a,188/198,,Common,NM,1,£0.00,£0.00,card:ba24a|188/198|null|null|null|null,sv1-188,sv1-188,functional-reprint-alias,Potion,Trainer,,Item,Battle Academy 2024 Potion; canonical gameplay SVI 188
65,2026-07-16,My Portfolio,Pal Pad,Scarlet & Violet,sv1,182/198,,Common,NM,1,£0.00,£0.00,card:sv1|182/198|null|null|null|null,sv1-182,sv1-182,exact,Pal Pad,Trainer,,Item,
66,2026-07-16,My Portfolio,Gastly,Phantasmal Flames,me02,054/094,,Common,NM,1,£0.00,£0.00,card:me02|054/094|null|null|null|null,me2-54,me2-54,set-id-alias,Gastly,Pokémon,Darkness,Basic,Portfolio set ID me02 normalised to me2
67,2026-07-16,My Portfolio,Team Rocket's Ekans,Destined Rivals,sv10,112/182,,Common,NM,1,£0.00,£0.00,card:sv10|112/182|null|null|null|null,sv10-112,sv10-112,exact,Team Rocket's Ekans,Pokémon,Darkness,Basic,
68,2026-07-16,My Portfolio,Grimer,Scarlet & Violet,sv1,126/198,,Common,NM,1,£0.00,£0.00,card:sv1|126/198|null|null|null|null,sv1-126,sv1-126,exact,Grimer,Pokémon,Darkness,Basic,
69,2026-07-16,My Portfolio,Team Rocket's Nidoran ♀,Destined Rivals,sv10,114/182,,Common,NM,4,£0.00,£0.00,card:sv10|114/182|null|null|null|null,sv10-114,sv10-114,exact,Team Rocket's Nidoran♀,Pokémon,Darkness,Basic,
70,2026-07-16,My Portfolio,Team Rocket's Arbok,Destined Rivals,sv10,113/182,,Uncommon,NM,2,£0.00,£0.00,card:sv10|113/182|null|null|null|null,sv10-113,sv10-113,exact,Team Rocket's Arbok,Pokémon,Darkness,Stage 1,
71,2026-07-16,My Portfolio,Team Rocket's Nidoqueen,Destined Rivals,sv10,116/182,,Uncommon,NM,3,£0.00,£0.00,card:sv10|116/182|null|null|null|null,sv10-116,sv10-116,exact,Team Rocket's Nidoqueen,Pokémon,Darkness,Stage 2,
72,2026-07-16,My Portfolio,Team Rocket's Nidorino,Destined Rivals,sv10,118/182,,Common,NM,1,£0.00,£0.00,card:sv10|118/182|null|null|null|null,sv10-118,sv10-118,exact,Team Rocket's Nidorino,Pokémon,Darkness,Stage 1,
73,2026-07-16,My Portfolio,Team Rocket's Zubat,Destined Rivals,sv10,120/182,,Common,NM,4,£0.00,£0.00,card:sv10|120/182|null|null|null|null,sv10-120,sv10-120,exact,Team Rocket's Zubat,Pokémon,Darkness,Basic,
74,2026-07-16,My Portfolio,Team Rocket's Golbat,Destined Rivals,sv10,121/182,,Uncommon,NM,3,£0.00,£0.00,card:sv10|121/182|null|null|null|null,sv10-121,sv10-121,exact,Team Rocket's Golbat,Pokémon,Darkness,Stage 1,
75,2026-07-16,My Portfolio,Team Rocket's Koffing,Destined Rivals,sv10,125/182,,Common,NM,4,£0.00,£0.00,card:sv10|125/182|null|null|null|null,sv10-125,sv10-125,exact,Team Rocket's Koffing,Pokémon,Darkness,Basic,
76,2026-07-16,My Portfolio,Team Rocket's Weezing,Destined Rivals,sv10,126/182,,Uncommon,NM,2,£0.00,£0.00,card:sv10|126/182|null|null|null|null,sv10-126,sv10-126,exact,Team Rocket's Weezing,Pokémon,Darkness,Stage 1,
77,2026-07-16,My Portfolio,Team Rocket's Transceiver,Ascended Heroes,me2pt5,209/217,,Uncommon,NM,4,£0.00,£0.00,card:me2pt5|209/217|null|null|null|null,me2pt5-209,me2pt5-209,exact,Team Rocket's Transceiver,Trainer,,Item,
78,2026-07-16,My Portfolio,Team Rocket's Factory,Ascended Heroes,me2pt5,203/217,,Uncommon,NM,3,£0.00,£0.00,card:me2pt5|203/217|null|null|null|null,me2pt5-203,me2pt5-203,exact,Team Rocket's Factory,Trainer,,Stadium,
79,2026-07-16,My Portfolio,Team Rocket's Venture Bomb,Destined Rivals,sv10,179/182,,Uncommon,NM,2,£0.00,£0.00,card:sv10|179/182|null|null|null|null,sv10-179,sv10-179,exact,Team Rocket's Venture Bomb,Trainer,,Item,
80,2026-07-16,My Portfolio,Team Rocket's Great Ball,Destined Rivals,sv10,175/182,,Uncommon,NM,3,£0.00,£0.00,card:sv10|175/182|null|null|null|null,sv10-175,sv10-175,exact,Team Rocket's Great Ball,Trainer,,Item,
81,2026-07-16,My Portfolio,Team Rocket's Bother-Bot,Destined Rivals,sv10,172/182,,Uncommon,NM,3,£0.00,£0.00,card:sv10|172/182|null|null|null|null,sv10-172,sv10-172,exact,Team Rocket's Bother-Bot,Trainer,,Item,
82,2026-07-16,My Portfolio,Team Rocket's Ariana,Ascended Heroes,me2pt5,202/217,,Uncommon,NM,2,£0.00,£0.00,card:me2pt5|202/217|null|null|null|null,me2pt5-202,me2pt5-202,exact,Team Rocket's Ariana,Trainer,,Supporter,
83,2026-07-16,My Portfolio,Team Rocket's Proton,Destined Rivals,sv10,177/182,,Uncommon,NM,3,£0.00,£0.00,card:sv10|177/182|null|null|null|null,sv10-177,sv10-177,exact,Team Rocket's Proton,Trainer,,Supporter,
84,2026-07-16,My Portfolio,Team Rocket's Porygon-Z,Destined Rivals,sv10,155/182,,Uncommon,NM,2,£0.00,£0.00,card:sv10|155/182|null|null|null|null,sv10-155,sv10-155,exact,Team Rocket's Porygon-Z,Pokémon,Colorless,Stage 2,
85,2026-07-16,My Portfolio,Team Rocket's Porygon2,Destined Rivals,sv10,154/182,,Common,NM,2,£0.00,£0.00,card:sv10|154/182|null|null|null|null,sv10-154,sv10-154,exact,Team Rocket's Porygon2,Pokémon,Colorless,Stage 1,
86,2026-07-16,My Portfolio,Team Rocket's Porygon,Destined Rivals,sv10,153/182,,Common,NM,2,£0.00,£0.00,card:sv10|153/182|null|null|null|null,sv10-153,sv10-153,exact,Team Rocket's Porygon,Pokémon,Colorless,Basic,
87,2026-07-16,My Portfolio,Team Rocket's Tarountula,Destined Rivals,sv10,019/182,,Common,NM,5,£0.00,£0.00,card:sv10|019/182|null|null|null|null,sv10-19,sv10-19,exact,Team Rocket's Tarountula,Pokémon,Grass,Basic,
88,2026-07-16,My Portfolio,Team Rocket's Spidops,Ascended Heroes,me2pt5,019/217,Holo,Rare,NM,1,£0.00,£0.00,card:me2pt5|019/217|Holo|null|null|null,me2pt5-19,me2pt5-19,exact,Team Rocket's Spidops,Pokémon,Grass,Stage 1,
89,2026-07-16,My Portfolio,Team Rocket's Wobbuffet,Destined Rivals,sv10,082/182,Holo,Rare,NM,1,£0.00,£0.00,card:sv10|082/182|Holo|null|null|null,sv10-82,sv10-82,exact,Team Rocket's Wobbuffet,Pokémon,Psychic,Basic,
90,2026-07-16,My Portfolio,Great Ball,Crown Zenith,swsh12pt5,132/159,,Uncommon,NM,2,£0.00,£0.00,card:swsh12pt5|132/159|null|null|null|null,swsh12pt5-132,swsh12pt5-132,exact,Great Ball,Trainer,,Item,
91,2026-07-16,My Portfolio,Team Rocket's Grimer,Destined Rivals,sv10,123/182,,Common,NM,4,£0.00,£0.00,card:sv10|123/182|null|null|null|null,sv10-123,sv10-123,exact,Team Rocket's Grimer,Pokémon,Darkness,Basic,
92,2026-07-16,My Portfolio,Team Rocket's Muk,Destined Rivals,sv10,124/182,,Uncommon,NM,5,£0.00,£0.00,card:sv10|124/182|null|null|null|null,sv10-124,sv10-124,exact,Team Rocket's Muk,Pokémon,Darkness,Stage 1,
93,2026-07-16,My Portfolio,Hisuian Growlithe,Astral Radiance,swsh10,070/189,,Common,NM,1,£0.00,£0.00,card:swsh10|070/189|null|null|null|null,swsh10-70,swsh10-70,exact,Hisuian Growlithe,Pokémon,Fighting,Basic,
94,2026-07-16,My Portfolio,Hisuian Arcanine,Twilight Masquerade,sv6,100/167,Holo,Rare,NM,1,£0.00,£0.00,card:sv6|100/167|Holo|null|null|null,sv6-100,sv6-100,exact,Hisuian Arcanine,Pokémon,Fighting,Stage 1,
95,2026-07-16,My Portfolio,Swalot,Stellar Crown,sv7,092/142,,Uncommon,NM,1,£0.00,£0.00,card:sv7|092/142|null|null|null|null,sv7-92,sv7-92,exact,Swalot,Pokémon,Darkness,Stage 1,
96,2026-07-16,My Portfolio,Team Rocket's Nidorina,Destined Rivals,sv10,115/182,,Common,NM,2,£0.00,£0.00,card:sv10|115/182|null|null|null|null,sv10-115,sv10-115,exact,Team Rocket's Nidorina,Pokémon,Darkness,Stage 1,
97,2026-07-16,My Portfolio,Charcadet,Paradox Rift,sv4,026/182,,Common,NM,1,£0.00,£0.00,card:sv4|026/182|null|null|null|null,sv4-26,sv4-26,exact,Charcadet,Pokémon,Fire,Basic,
98,2026-07-16,My Portfolio,Boss's Orders,Ascended Heroes,me2pt5,183/217,,Uncommon,NM,1,£0.00,£0.00,card:me2pt5|183/217|null|null|null|null,me2pt5-183,me2pt5-183,exact,Boss's Orders,Trainer,,Supporter,
99,2026-07-16,My Portfolio,Alolan Marowak,Journey Together,sv9,057/159,,Uncommon,NM,1,£0.00,£0.00,card:sv9|057/159|null|null|null|null,sv9-57,sv9-57,exact,Alolan Marowak,Pokémon,Psychic,Stage 1,
100,2026-07-16,My Portfolio,Hawlucha,Silver Tempest,swsh12,098/195,,Common,NM,1,£0.00,£0.00,card:swsh12|098/195|null|null|null|null,swsh12-98,swsh12-98,exact,Hawlucha,Pokémon,Fighting,Basic,
101,2026-07-16,My Portfolio,Growlithe,Silver Tempest,swsh12,019/195,,Common,NM,1,£0.00,£0.00,card:swsh12|019/195|null|null|null|null,swsh12-19,swsh12-19,exact,Growlithe,Pokémon,Fire,Basic,
102,2026-07-16,My Portfolio,Annihilape,Destined Rivals,sv10,092/182,Holo,Rare,NM,1,£0.00,£0.00,card:sv10|092/182|Holo|null|null|null,sv10-92,sv10-92,exact,Annihilape,Pokémon,Fighting,Stage 2,
103,2026-07-16,My Portfolio,Skeledirge,Surging Sparks,sv8,031/191,Holo,Rare,NM,2,£0.00,£0.00,card:sv8|031/191|Holo|null|null|null,sv8-31,sv8-31,exact,Skeledirge,Pokémon,Fire,Stage 2,
104,2026-07-16,My Portfolio,Nest Ball,Battle Academy 2024 (Armarouge),ba24a,181/198,,Uncommon,NM,3,£0.00,£0.00,card:ba24a|181/198|null|null|null|null,sv1-181,sv1-181,functional-reprint-alias,Nest Ball,Trainer,,Item,Battle Academy 2024 Nest Ball; canonical gameplay SVI 181
105,2026-07-16,My Portfolio,Jacq,Battle Academy 2024 (Armarouge),ba24a,175/198,,Uncommon,NM,2,£0.00,£0.00,card:ba24a|175/198|null|null|null|null,sv1-175,sv1-175,functional-reprint-alias,Jacq,Trainer,,Supporter,Battle Academy 2024 Jacq; canonical gameplay SVI 175
106,2026-07-16,My Portfolio,Escape Rope,WC Deck 2023 (Lost Box Kyogre),wc23lbk,125/163,,Uncommon,NM,3,£0.00,£0.00,card:wc23lbk|125/163|null|Lost Box Kyogre: Shao Tong Yen|null|null,swsh5-125,swsh5-125,functional-reprint-alias,Escape Rope,Trainer,,Item,World Championships 2023 Escape Rope; canonical gameplay BST 125
107,2026-07-16,My Portfolio,Ultra Ball,Mega Evolution,m1,131/132,,Common,NM,4,£0.00,£0.00,card:m1|131/132|null|null|null|null,me1-131,me1-131,set-id-alias,Ultra Ball,Trainer,,Item,Portfolio set ID m1 normalised to me1
108,2026-07-16,My Portfolio,Iono,Play! Pokémon Prize Pack Series Four,pp4,185/193,Non-holo,Uncommon,NM,1,£0.00,£0.00,card:pp4|185/193|Non-holo|Play! Pokémon Prize Pack|null|null,sv2-185,sv2-185,functional-reprint-alias,Iono,Trainer,,Supporter,Prize Pack Iono; canonical gameplay PAL 185
109,2026-07-16,My Portfolio,Iono,Paldea Evolved,sv2,185/193,,Uncommon,NM,1,£0.00,£0.00,card:sv2|185/193|null|null|null|null,sv2-185,sv2-185,exact,Iono,Trainer,,Supporter,
110,2026-07-16,My Portfolio,Professor's Research,Journey Together,sv9,155/159,,Common,NM,4,£0.00,£0.00,card:sv9|155/159|null|null|null|null,sv9-155,sv9-155,exact,Professor's Research,Trainer,,Supporter,
